account_id,customer_id,account_type,balance,created_at
1,798,savings,31651.15,2024-04-02 17:54:34.876907
2,4434,savings,18776.09,2024-10-20 11:11:07.672004
3,404,checking,16868.54,2024-09-05 13:42:03.363879
4,2640,checking,14335.14,2024-07-08 16:37:16.528942
5,2515,savings,3209.83,2023-12-28 22:40:17.895346
6,2119,savings,13952.82,2025-06-05 17:51:43.572052
7,4052,savings,10955.78,2026-04-10 04:09:04.466038
8,4569,checking,15629.04,2026-04-14 03:27:06.085359
9,4881,savings,5658.52,2023-10-20 23:01:42.175053
10,4227,checking,36230.31,2025-12-13 15:25:06.186218
11,3981,checking,15472.13,2023-11-27 12:00:30.555165
12,4319,savings,37011.88,2024-10-27 16:26:38.586332
13,573,savings,5833.17,2024-11-03 00:23:41.633071
14,3250,savings,43479.11,2025-12-16 14:16:08.515960
15,4406,savings,40126.57,2024-01-05 15:01:18.838516
16,2714,checking,45387.52,2025-11-24 17:17:01.391630
17,1354,checking,14316.07,2023-10-29 08:54:12.174534
18,351,checking,47289.99,2024-11-09 02:35:44.387002
19,3118,checking,24922.86,2024-12-23 21:32:04.841513
20,2925,savings,1766.63,2024-05-18 20:25:14.502994
21,1185,savings,45505.34,2025-10-12 18:25:24.151184
22,3956,checking,18759.21,2023-11-13 03:35:58.295224
23,1056,savings,20494.83,2025-03-03 02:29:50.113235
24,4902,checking,13977.84,2026-05-07 00:01:45.054712
25,3765,checking,18744.19,2024-07-18 18:42:31.753881
26,1618,savings,45765.31,2025-07-17 08:33:22.465160
27,1089,savings,45154.78,2025-07-19 10:23:47.970886
28,1285,savings,40602.61,2025-08-01 23:58:23.865831
29,1985,checking,3404.01,2023-10-16 13:31:20.810107
30,905,checking,19285.86,2023-11-07 22:26:24.676954
31,2725,checking,10473.17,2024-04-06 10:19:14.887345
32,4178,checking,42163.96,2025-09-28 21:34:21.265989
33,1909,checking,24504.65,2026-03-20 15:15:16.499486
34,2751,checking,25111.27,2023-06-25 14:22:29.359408
35,545,checking,27747.45,2023-06-21 12:42:50.039805
36,365,checking,18260.58,2024-04-29 08:50:59.814880
37,85,savings,15461.33,2025-03-07 02:17:05.866696
38,949,savings,13526.62,2026-03-14 01:09:04.686382
39,2762,checking,5117.63,2025-08-09 16:48:12.673142
40,8,checking,14619.69,2025-01-19 08:48:22.412803
41,769,savings,49781.93,2023-12-09 03:51:13.176462
42,1433,savings,31444.25,2024-10-12 02:53:23.320866
43,619,checking,14507.15,2025-10-04 18:07:34.814251
44,1371,savings,37088.73,2026-03-07 21:29:56.063390
45,3544,checking,36208.41,2024-05-11 03:10:06.830469
46,647,savings,4641.36,2025-02-19 18:30:21.061130
47,1031,checking,6309.22,2024-01-23 02:01:46.282311
48,3129,savings,17809.02,2026-05-06 20:01:16.303600
49,4377,savings,12784.28,2025-08-25 03:45:33.283148
50,2981,savings,10994.04,2025-07-30 05:04:18.544672
51,536,savings,18678.8,2024-06-07 17:43:20.043235
52,2989,savings,40420.27,2023-07-12 05:21:32.809660
53,1849,checking,23508.45,2024-11-28 19:01:16.908693
54,3286,savings,42354.81,2025-04-26 16:32:38.435014
55,667,savings,10156.45,2025-06-07 19:24:32.607195
56,1522,checking,28444.19,2025-10-20 15:11:28.216607
57,3750,savings,10532.72,2024-10-19 15:40:24.484236
58,3177,checking,5298.21,2025-10-29 16:19:36.236312
59,1741,savings,30618.29,2024-04-19 09:08:01.904947
60,522,savings,20804.78,2024-03-14 08:14:16.688744
61,2287,checking,20331.94,2026-01-30 09:20:16.192639
62,2459,savings,17196.11,2026-06-10 17:15:21.478048
63,991,savings,42006.53,2026-04-13 16:37:13.263123
64,1131,checking,38096.15,2024-09-17 20:16:19.973058
65,610,savings,26695.4,2026-01-13 09:05:11.613489
66,3216,savings,39210.09,2024-12-01 20:03:36.940941
67,2330,savings,13877.42,2025-05-23 01:19:54.092070
68,1149,checking,24589.73,2024-02-12 18:35:28.149441
69,1307,savings,12979.08,2023-08-05 04:41:39.364813
70,97,savings,48494.24,2023-09-11 20:41:37.156714
71,3393,savings,43060.13,2025-12-10 06:52:49.322306
72,4364,checking,2656.69,2024-01-16 07:58:00.227019
73,4618,savings,22658.99,2024-04-11 09:21:32.587132
74,3705,checking,38311.48,2025-07-23 19:40:17.325654
75,1831,savings,41324.4,2026-04-08 10:09:59.419820
76,4085,savings,8847.84,2024-05-16 10:30:13.732404
77,1359,checking,6084.64,2024-04-08 22:59:55.223220
78,2627,checking,13146.94,2024-05-02 10:28:02.349441
79,2713,checking,21297.83,2025-09-28 02:03:42.124599
80,4075,savings,11875.55,2025-06-01 06:07:18.309153
81,3877,savings,38798.52,2025-09-17 05:50:20.641642
82,2030,checking,2963.07,2024-01-29 16:05:45.833610
83,1795,checking,12195.96,2023-11-16 14:46:59.566948
