merchant_id,name,category,risk_level
1,Vincent-Marsh,subscription,medium
2,Martin-Barker,travel,low
3,"Barber, Villegas and Davis",subscription,low
4,Young-Brown,entertainment,low
5,"White, Chung and Maxwell",restaurant,medium
6,"Alexander, Morales and Hughes",subscription,high
7,"Kim, Fox and Galvan",retail,medium
8,Welch Ltd,entertainment,low
9,Alvarado Group,utilities,low
10,"Valencia, Clark and Kelly",health,medium
11,Stanley-Taylor,travel,low
12,"Hicks, Stevens and Cummings",retail,low
13,Jones-Mathis,utilities,medium
14,"Sanders, Santiago and Harris",travel,medium
15,Richardson-Lewis,grocery,high
16,Krueger Inc,retail,medium
17,Kelly and Sons,grocery,high
18,Tran-Clark,health,low
19,Mullen-Ford,utilities,medium
20,"Gomez, Le and Robinson",utilities,high
21,"Higgins, Adams and Ross",restaurant,high
22,Harmon-Joyce,utilities,medium
23,"Good, Lowe and Rios",grocery,low
24,Stone-Bridges,utilities,high
25,Williams Group,retail,medium
26,"Medina, Miller and Nelson",retail,high
27,Kelly Ltd,entertainment,medium
28,"Price, Davis and Harrison",restaurant,high
29,"Aguirre, Simpson and Gates",restaurant,medium
30,Taylor Ltd,entertainment,low
31,"Carlson, Atkins and Johnson",restaurant,low
32,Howard-Andersen,health,low
33,Pham-Pratt,retail,low
34,Robinson and Sons,travel,low
35,Browning and Sons,utilities,low
36,"Jones, Brown and Collier",retail,high
37,Wilson PLC,health,high
38,Smith LLC,health,high
39,Gonzalez Group,entertainment,low
40,Rodriguez-Willis,travel,low
41,Riley Group,travel,high
42,Tate Group,retail,high
43,Sullivan Inc,travel,medium
44,Cline-Vasquez,subscription,medium
45,"Pollard, Hughes and Cross",entertainment,medium
46,Kidd-James,utilities,high
47,Miller Ltd,retail,low
48,"Walsh, Gates and Johnson",entertainment,high
49,Miller PLC,subscription,high
50,Burke Group,retail,medium
51,"Morgan, Villanueva and Campbell",entertainment,medium
52,Ford LLC,restaurant,high
53,Mason-Patel,restaurant,high
54,Guzman-Walters,subscription,high
55,"Warren, Chavez and Mendoza",grocery,high
56,"Adams, Hall and Moore",health,high
57,Sanchez LLC,health,medium
58,Hernandez Group,subscription,high
59,"Cline, Castillo and Carroll",travel,medium
60,Adams-Lee,restaurant,medium
61,Walker-Dixon,restaurant,high
62,"Smith, Hawkins and Murray",travel,high
63,Ford-Medina,health,high
64,Jones-Tyler,restaurant,low
65,Maxwell Ltd,retail,medium
66,Hoffman-Novak,health,low
67,Mitchell-Carter,travel,low
68,"Wells, Jones and Freeman",grocery,medium
69,Browning Inc,health,low
70,Brooks Group,utilities,medium
71,Daniels-Clark,health,medium
72,Mcgee-Martin,subscription,high
73,Gardner-Wood,restaurant,medium
74,Garrison Group,retail,high
75,Green-Castaneda,travel,medium
76,Hughes Ltd,utilities,low
77,"Jennings, Stone and Ramirez",retail,low
78,Clark-Carter,entertainment,low
79,"Delgado, Lewis and Bullock",health,high
80,Wang Group,restaurant,high
81,"Combs, Hanson and Underwood",utilities,low
82,Hickman and Sons,grocery,high
83,Austin LLC,retail,medium
84,"Gray, Vargas and Shepherd",travel,medium
85,Holt-Cabrera,subscription,high
86,"Clark, Carter and Nelson",entertainment,medium
87,Hernandez-Salazar,retail,medium
88,Castro-Jones,health,high
89,Perry-Taylor,travel,high
90,Johnson-Davis,health,high
91,Knight-Johnson,health,medium
92,Sullivan Inc,entertainment,high
93,Acevedo-Wiggins,health,low
94,Martinez-Ortiz,health,medium
95,Brown-Garcia,entertainment,high
96,"Holland, Davis and Hester",restaurant,low
97,Wade Inc,retail,high
98,Lynch-Moore,restaurant,medium
99,Chen PLC,grocery,low
100,"Reynolds, Ray and Jones",utilities,low
101,"Mullins, Navarro and Munoz",health,medium
102,"Mays, Phelps and Williams",utilities,medium
103,"Austin, Herrera and Johnson",travel,low
104,"Trevino, Hansen and Price",grocery,high
105,Vasquez-Maldonado,health,high
106,Shaw LLC,travel,medium
107,"Hudson, Nelson and Mcclure",entertainment,low
108,Hall Group,retail,high
109,Smith and Sons,health,low
110,Harding Inc,subscription,low
111,Willis-Carrillo,retail,high
112,"Haynes, Floyd and Rodriguez",entertainment,high
113,"Ortega, Castillo and Torres",grocery,medium
114,"Edwards, Hawkins and Nguyen",retail,low
115,Silva-Francis,restaurant,high
116,"Montgomery, Garcia and Franklin",subscription,medium
117,Hill-Valentine,utilities,medium
118,"Ewing, Smith and Powers",health,high
119,"Miller, Sanchez and Mcfarland",grocery,medium
120,Serrano-Griffin,grocery,high
121,Beard-Clark,subscription,high
122,"Clements, Garcia and Schneider",health,medium
123,Green-Craig,entertainment,high
124,"Hill, Valdez and Rodriguez",retail,low
125,Stokes-Kennedy,grocery,medium
126,Morales-Chavez,subscription,low
127,Rodriguez-Thomas,retail,low
128,Mccann Inc,grocery,high
129,"Roberts, Caldwell and Vang",retail,medium
130,"Buck, Mitchell and Evans",entertainment,low
131,Nguyen-Rosario,retail,low
132,Hess-Bean,subscription,medium
133,"Hayes, Mccullough and Martinez",entertainment,low
134,Castro PLC,utilities,medium
135,"Rodriguez, Chapman and Miller",grocery,low
136,Valenzuela Inc,utilities,high
137,Acevedo-Steele,retail,low
138,Valdez Group,travel,medium
139,"Taylor, Kent and Lopez",entertainment,high
140,Smith Ltd,travel,high
141,Hale-Greer,retail,low
142,"Ellis, Lowe and Hoffman",travel,high
143,Griffin Ltd,health,high
144,"Moody, Barnett and Herman",entertainment,medium
145,Frank-Armstrong,grocery,medium
146,Stone and Sons,retail,high
147,"Anderson, Rosario and Russell",grocery,low
148,Richards-Jones,entertainment,low
149,"Pope, Bond and Johnson",subscription,medium
150,Cline Group,entertainment,low
151,Henry-Hooper,grocery,high
152,Gordon and Sons,grocery,low
153,Hernandez-Rivera,travel,medium
154,Garcia-Price,entertainment,high
155,Williams-Hammond,subscription,medium
156,Owens-Ward,subscription,medium
157,Smith-Hicks,grocery,medium
158,"Stephenson, Lloyd and Anderson",utilities,high
159,Christian PLC,health,medium
160,Hunter Inc,grocery,low
161,Moore and Sons,travel,low
162,Hawkins-Wang,subscription,low
