transaction_id,account_id,customer_id,merchant_id,amount,transaction_type,timestamp,merchant_category,location
1,294,862,174,16.25,debit,2026-05-06 13:46:42.043789,entertainment,Lynnburgh
2,2974,4092,7,597.48,debit,2026-05-18 11:02:19.043789,retail,Port Maryville
3,5024,2610,139,300.28,debit,2025-08-18 05:29:41.043789,entertainment,Port Codyton
4,4650,3105,56,1403.95,credit,2025-09-24 07:44:38.043789,health,Port Steven
5,5434,140,107,1078.59,credit,2026-05-05 07:37:14.043789,entertainment,Colemouth
6,1039,229,64,1242.82,credit,2026-05-03 18:02:39.043789,restaurant,South Michellechester
7,2677,38,16,1444.51,debit,2025-09-28 21:55:32.043789,retail,Lake Selenastad
8,6065,2397,76,1264.5,credit,2026-03-30 04:20:04.043789,utilities,West Jennifer
9,3211,2592,137,1836.32,debit,2025-09-25 17:59:32.043789,retail,Lake Williamport
10,216,1610,76,433.25,credit,2025-08-18 13:03:39.043789,utilities,Williamstown
11,5961,1316,131,1581.5,credit,2025-10-11 05:05:08.043789,retail,Johnnyville
12,3651,2506,163,1745.96,debit,2026-04-24 00:52:25.043789,entertainment,North Howard
13,3410,4951,47,1950.82,debit,2025-12-16 08:16:04.043789,retail,Evansville
14,4308,3238,189,1061.84,debit,2025-07-23 07:22:25.043789,retail,Mariaview
15,755,2300,135,1801.42,credit,2025-12-15 19:28:00.043789,grocery,Phillipsburgh
16,4832,4267,164,641.23,credit,2026-03-30 07:45:14.043789,grocery,East Stephaniemouth
17,614,4487,25,1306.22,credit,2025-07-05 10:31:45.043789,retail,Hooperside
18,3113,2602,14,1805.64,credit,2025-07-24 17:53:14.043789,travel,Port Melissamouth
19,6897,85,102,815.78,credit,2026-01-23 00:36:44.043789,utilities,North Jennifer
20,1119,4587,41,411.08,debit,2026-02-16 23:24:21.043789,travel,West Kevinbury
21,2584,56,25,559.1,debit,2026-04-22 04:15:43.043789,retail,Russellberg
22,4555,4137,129,722.45,debit,2026-04-21 17:42:41.043789,retail,West Christopher
23,4680,607,19,1380.8,debit,2025-07-08 14:38:26.043789,utilities,Pamelaside
24,1829,3608,171,196.83,credit,2026-06-04 14:39:38.043789,subscription,Port Brian
25,2645,3517,125,1879.3,credit,2025-11-12 22:22:38.043789,grocery,North Michael
26,5960,580,190,203.93,credit,2025-09-05 00:28:06.043789,entertainment,Jeremychester
27,2948,1331,46,1537.41,credit,2025-11-23 18:09:29.043789,utilities,West Teresaside
28,2967,1839,167,740.37,debit,2025-11-28 06:24:36.043789,restaurant,Whitneybury
29,4010,1677,116,902.32,credit,2026-02-23 16:13:53.043789,subscription,West Ethanport
30,5763,885,198,1596.84,debit,2026-02-03 04:29:26.043789,entertainment,Port Susan
31,2267,3459,97,235.18,debit,2025-11-09 00:18:13.043789,retail,Derrickville
32,2041,678,93,1030.84,debit,2026-03-04 08:12:57.043789,health,Kennethton
33,1259,86,110,1635.86,debit,2025-08-07 23:22:28.043789,subscription,New Roberttown
34,2473,3590,163,2082.77,debit,2025-09-17 21:08:03.043789,entertainment,East Luke
35,965,3631,27,2693.69,debit,2025-11-16 08:01:55.043789,entertainment,South Briantown
36,5501,4216,121,551.02,credit,2026-06-10 11:20:37.043789,subscription,New Peter
37,1164,1676,183,783.42,credit,2026-01-26 15:30:40.043789,health,Michaelburgh
38,4928,4302,19,397.65,debit,2025-08-06 20:20:23.043789,utilities,East Matthew
39,2721,518,23,1489.78,debit,2026-03-07 13:56:43.043789,grocery,Colonfort
40,1789,2271,164,1633.61,debit,2025-08-24 15:08:03.043789,grocery,West Richardtown
41,3440,4147,116,976.92,debit,2026-02-13 05:47:51.043789,subscription,Mcgeeland
42,1788,292,160,397.35,debit,2026-02-07 14:36:43.043789,grocery,West Ashley
43,2720,3388,128,252.1,credit,2025-11-19 15:31:05.043789,grocery,Courtneymouth
44,4945,2208,60,809.07,debit,2026-02-21 19:29:29.043789,restaurant,New Robin
45,6065,2397,152,641.57,debit,2026-06-09 05:21:49.043789,grocery,Hernandezfurt
46,4323,1279,98,746.88,debit,2026-03-08 20:03:30.043789,restaurant,South Ryanview
47,6988,1466,118,1136.17,credit,2025-06-21 22:31:12.043789,health,Jonesfurt
48,6691,1942,15,49.92,credit,2025-12-24 07:56:23.043789,grocery,Sandramouth
49,2419,1617,26,127.48,debit,2025-12-11 04:50:42.043789,retail,Port Hannah
50,5138,3306,115,772.2,credit,2025-12-17 04:21:41.043789,restaurant,Lake Shannon
51,2002,2373,158,980.6,credit,2026-04-09 05:55:04.043789,utilities,North Jamesland
52,6395,1887,176,2644.72,debit,2026-03-04 11:07:28.043789,travel,Lopezhaven
53,392,2506,111,1554.19,credit,2025-11-23 06:25:28.043789,retail,Jeremyport
54,5487,2384,173,1334.76,credit,2026-06-08 10:50:03.043789,restaurant,Jamestown
55,3199,1465,172,300.32,debit,2025-07-30 23:44:55.043789,health,West Jenniferside
56,3207,4543,94,55.24,credit,2026-04-13 04:29:40.043789,health,West Davidfort
57,5043,4342,107,1394.16,credit,2025-07-22 14:14:00.043789,entertainment,Salazarville
58,3534,4457,52,725.57,credit,2025-09-09 08:33:08.043789,restaurant,Lake Melissa
59,1988,2285,101,668.21,debit,2026-01-09 04:53:06.043789,health,South Davidfurt
60,5922,2816,119,250.9,debit,2026-04-15 19:34:00.043789,grocery,South Jasmine
61,6535,1100,16,1976.1,credit,2026-05-22 05:04:50.043789,retail,Angelachester
62,2556,787,81,497.13,credit,2026-05-04 11:24:52.043789,utilities,New Troy
63,6286,2349,182,529.97,credit,2026-05-09 21:09:02.043789,health,West Erin
64,6271,4025,8,1444.56,credit,2025-07-16 08:50:03.043789,entertainment,Shermanbury
65,1342,1165,96,378.96,credit,2025-12-28 10:08:27.043789,restaurant,Whiteburgh
66,2824,815,158,886.72,debit,2026-04-03 02:34:40.043789,utilities,Tiffanyfort
67,2596,1679,90,1085.15,debit,2026-02-16 04:42:01.043789,health,Mcgeebury
68,2732,3834,174,2467.26,debit,2026-03-12 09:54:25.043789,entertainment,Smithbury
69,714,3113,75,1765.32,credit,2026-04-02 08:22:34.043789,travel,Port Barry
70,4442,4744,163,2029.25,credit,2026-02-04 04:53:02.043789,entertainment,North Ericchester
71,644,3858,78,1160.53,credit,2026-01-18 08:35:25.043789,entertainment,East Alicia
72,3290,2630,20,1716.07,credit,2025-09-16 19:16:33.043789,utilities,Harperport
73,1244,906,111,284.56,credit,2026-03-14 22:20:29.043789,retail,North James
74,403,3135,145,1233.85,credit,2025-10-06 12:53:16.043789,grocery,East James
75,5382,3087,147,1275.65,debit,2025-11-04 17:19:10.043789,grocery,South Kristopher
76,4265,2203,68,1147.05,debit,2025-09-17 10:00:17.043789,grocery,Kylefort
77,3682,763,128,123.66,credit,2026-03-02 12:37:01.043789,grocery,Wrightport
78,6502,1923,48,207.59,debit,2026-03-12 18:09:19.043789,entertainment,Darrenbury
79,6462,79,59,2723.35,credit,2026-05-13 08:50:53.043789,travel,Marychester
80,681,1886,148,1049.28,debit,2025-08-05 13:52:56.043789,entertainment,Brandifurt
81,1222,476,3,239.15,credit,2026-04-03 03:37:01.043789,subscription,Changborough
82,4892,4815,54,1901.06,credit,2026-05-28 15:23:33.043789,subscription,Jamesshire
83,5610,4723,47,28.63,debit,2025-07-30 12:52:50.043789,retail,Cherylmouth
84,907,1198,87,298.29,debit,2025-09-05 21:39:56.043789,retail,Pricemouth
85,4588,2912,184,128.47,credit,2025-09-18 00:22:38.043789,utilities,West Bradley
86,2756,4142,104,1440.09,debit,2025-07-25 09:18:22.043789,grocery,North David
87,1185,3859,117,1973.07,debit,2026-03-30 23:05:53.043789,utilities,Bakerchester
88,1737,2553,44,1425.73,debit,2025-11-26 20:40:07.043789,subscription,Duncanbury
89,3642,3049,81,1454.1,debit,2025-12-14 11:39:31.043789,utilities,Bakerview
90,4380,165,143,1458.33,debit,2025-07-01 01:41:37.043789,health,Harveyshire
91,5510,4497,125,1059.51,credit,2026-02-10 15:32:07.043789,grocery,Lisaville
92,2178,2683,169,782.62,credit,2026-01-15 09:32:16.043789,subscription,West Louisville
93,2663,187,44,395.63,debit,2025-12-22 02:36:26.043789,subscription,New Wesleyfort
94,6087,1181,58,67.28,credit,2026-04-30 15:09:02.043789,subscription,Joseburgh
95,5376,2612,55,1720.67,credit,2025-09-19 19:58:15.043789,grocery,Samanthachester
96,6241,530,63,744.12,debit,2025-10-22 14:45:34.043789,health,Bobbyton
97,2849,2319,119,97.77,credit,2026-02-22 04:34:41.043789,grocery,Harrismouth
98,3084,4978,200,1368.05,debit,2026-01-21 11:42:59.043789,entertainment,West Amandachester
99,5800,4630,30,1558.3,debit,2026-05-14 09:13:57.043789,entertainment,New Matthew
100,3155,4987,35,45.99,credit,2026-03-05 07:52:04.043789,utilities,South Nicholasfurt
101,884,1648,5,1515.07,debit,2026-05-24 10:04:36.043789,restaurant,Michealburgh
102,6266,894,73,1869.9,debit,2026-04-06 14:10:48.043789,restaurant,Warrenhaven
103,1044,1596,65,804.86,debit,2025-07-16 23:13:07.043789,retail,New Claireview
104,3656,2582,5,861.53,credit,2025-07-27 13:23:14.043789,restaurant,New Thomasmouth
105,3819,3211,186,1677.25,credit,2025-09-27 16:10:16.043789,restaurant,Zacharyport
106,4698,3576,100,137.32,credit,2026-04-26 15:39:01.043789,utilities,Andersonmouth
107,3165,698,105,629.54,credit,2026-03-13 21:15:38.043789,health,Jilltown
108,1273,4351,91,144.02,debit,2025-07-29 04:31:31.043789,health,New Douglasside
109,4567,1460,2,1960.06,credit,2025-09-14 03:29:39.043789,travel,Nelsonshire
110,3774,1800,112,2845.63,debit,2025-08-05 17:15:04.043789,entertainment,Melissaville
111,3825,1660,26,346.22,credit,2025-11-26 11:00:47.043789,retail,East Brian
112,3723,572,19,1212.6,credit,2026-03-13 16:28:05.043789,utilities,Alexisview
113,5577,1915,6,1428.58,debit,2025-07-28 03:21:58.043789,subscription,Elizabethborough
114,6126,3459,50,221.56,credit,2026-06-07 19:49:33.043789,retail,North Jacob
115,6408,785,163,1680.22,credit,2025-08-20 18:47:16.043789,entertainment,Sotohaven
116,2864,4682,163,849.09,credit,2025-08-15 11:34:59.043789,entertainment,New Krystal
117,2780,1126,101,1617.02,credit,2025-07-20 19:34:53.043789,health,Wolfeburgh
118,3935,1598,155,351.56,credit,2025-09-16 11:11:51.043789,subscription,Sarahmouth
119,4670,853,68,978.43,debit,2025-12-27 23:14:47.043789,grocery,New Justin
120,3556,2560,116,61.04,credit,2025-09-15 05:37:35.043789,subscription,North Thomaschester
121,3956,2562,176,2995.47,credit,2025-09-20 16:30:05.043789,travel,New Mackenziechester
122,1415,832,141,431.89,debit,2025-09-27 04:58:15.043789,retail,Currytown
123,5437,2202,79,1092.16,debit,2025-07-19 14:28:23.043789,health,West Briannaberg
124,2114,2036,166,954.57,debit,2025-11-08 16:32:43.043789,travel,West Samantha
125,4535,2200,108,283.24,debit,2026-01-02 22:19:48.043789,retail,Jamesside
126,2019,4885,149,1105.12,credit,2025-06-18 05:52:32.043789,subscription,East Gina
127,6782,1220,184,994.48,credit,2026-01-23 02:35:56.043789,utilities,Lake Katelynberg
128,1542,1256,146,954.48,debit,2025-08-13 01:01:32.043789,retail,West Amberville
129,2646,1175,101,1081.71,credit,2025-09-22 00:45:12.043789,health,Port Markmouth
130,5703,4488,22,467.02,credit,2025-08-03 21:04:53.043789,utilities,North Emily
131,180,3675,65,1572.89,credit,2026-03-30 21:12:54.043789,retail,Humphreyborough
132,6148,4264,46,137.42,debit,2026-05-31 09:05:02.043789,utilities,North Sophiaborough
133,938,663,40,4193.32,debit,2026-03-20 07:48:09.043789,travel,New Thomaschester
134,1302,2476,160,590.45,credit,2026-01-31 12:11:15.043789,grocery,Lake Julie
135,6437,1077,113,439.49,debit,2025-11-12 14:17:06.043789,grocery,Frytown
136,5979,1763,155,49.63,debit,2026-01-18 04:08:02.043789,subscription,North Peter
137,5349,2679,61,1098.42,credit,2025-10-13 22:09:04.043789,restaurant,New Vanessashire
138,1628,4768,38,960.95,credit,2025-10-10 23:03:14.043789,health,New Frank
139,2607,22,98,925.65,credit,2025-07-10 04:09:54.043789,restaurant,Whitetown
140,318,2131,190,3146.42,debit,2026-05-24 12:35:58.043789,entertainment,Jonathanton
141,6149,235,62,3202.14,debit,2025-11-15 06:37:35.043789,travel,North Gregoryville
